#CIPSI
# dipole moment from CIPSI density
#basis      pt2_max     pt2        z_dipole_moment
3-21g 0.010000 -6.8583195760307802E-004 0.45978309224724700
3-21g 0.001000 -2.2203180592095251E-005 0.44601495839193839
3-21g 0.000001 -5.5511151231257827E-017 0.44407866443826749
